run      name                                   ped   pedrms        led   ledrms  rms/led   flags
01107039 EN357_r17c06_Dep06Ch28_F09/0/02/1    56.67     0.65     820.20    38.00  -0.0146   0   Good 
01107039 EN358_r17c07_Dep06Ch29_F09/0/03/0    50.23     0.67     584.40    29.54  -0.0350   0   Good 
01107039 EN359_r17c08_Dep06Ch30_F09/0/03/1    49.31     0.68    1034.40    40.36  -0.0093   0   Good 
01107039 EN360_r17c09_Dep06Ch31_F09/0/04/0  3586.28     0.47      30.00     0.00  -1.6667   5   Ped Led 
01107039 EN207_r10c10_Dep07Ch00_F05/0/04/3    80.16     0.61    1375.20    55.11   0.0037   0   Good 
01107039 EN208_r10c11_Dep07Ch01_F05/0/05/2    63.55     0.62     818.40    40.71  -0.0113   0   Good 
01107039 EN209_r10c12_Dep07Ch02_F05/0/05/3    67.43     0.64     624.00    33.41  -0.0266   0   Good 
01107039 EN210_r10c13_Dep07Ch03_F05/0/06/2    53.92     0.62     986.40    39.64  -0.0105   0   Good 
01107039 EN229_r11c10_Dep07Ch04_F06/0/04/1    63.41     0.64    1135.20    46.62  -0.0030   0   Good 
01107039 EN230_r11c11_Dep07Ch05_F06/0/05/0    71.68     0.61     960.60    45.30  -0.0049   0   Good 
01107039 EN231_r11c12_Dep07Ch06_F06/0/05/1    53.12     0.64     777.00    38.30  -0.0151   0   Good 
01107039 EN232_r11c13_Dep07Ch07_F06/0/06/0    44.99     0.61     845.40    38.97  -0.0130   0   Good 
01107039 EN251_r12c10_Dep07Ch08_F06/0/04/3    67.01     0.62    1129.20    47.15  -0.0025   0   Good 
